tender_country,tender_year,tender_mainCpv,tender_estimatedPrice_EUR,lot_bidsCount,tender_procedureType,tender_supplyType,buyer_buyerType,buyer_country,tender_indicator_score_INTEGRITY,tender_indicator_score_ADMINISTRATIVE,tender_indicator_score_TRANSPARENCY
RO,2021,50312000,8443894.0,1.0,APPROACHING_BIDDERS,SERVICES,NATIONAL_AUTHORITY,ROMANIA,68.1487,37.7778,41.4286
BG,2016,33000000,869210.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,BG,58.3333,16.6667,77.7778
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
BG,2021,33140000,431841.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,BG,80.0,30.597,43.5096
CZ,2019,45211000,3108045.0,3.0,RESTRICTED,WORKS,REGIONAL_AUTHORITY,CZ,78.1235,20.8333,65.1097
IT,2019,79410000,50000000.0,7.0,OPEN,SERVICES,EUROPEAN_AGENCY,ES,100.0,64.8148,43.75
PL,2015,33690000,866038.0,3.0,OPEN,SUPPLIES,OTHER,PL,91.3261,16.4214,68.8353
BG,2015,63500000,15338992.0,5.0,OPEN,SERVICES,NATIONAL_AUTHORITY,BG,83.1395,44.0476,77.5194
RO,2019,85143000,40726.0,2.0,OPEN,SERVICES,OTHER,ROMANIA,99.9967,56.0,40.4762
BE,2015,66113000,15000000.0,4.0,OPEN,SERVICES,OTHER,BE,100.0,36.6667,77.7778
RO,2023,22000000,96043.0,3.0,OPEN,SUPPLIES,OTHER,ROMANIA,100.0,36.6667,38.0952
RO,2022,15542200,5941119.0,2.0,OPEN,SUPPLIES,PUBLIC_BODY,ROMANIA,94.8125,36.3636,41.9643
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
SI,2015,15800000,18000.0,3.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,71.9615,33.1707,77.458
RO,2022,45453000,588614910.0,8.0,OPEN,WORKS,REGIONAL_AUTHORITY,RO,100.0,44.4444,43.75
RO,2021,33696300,203503.0,3.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,RO,85.7143,31.4815,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,REGIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2022,45233140,122660487.0,13.0,OPEN,WORKS,REGIONAL_AGENCY,RO,85.7143,45.8333,43.75
RO,2018,79530000,933.0,1.0,OPEN,SERVICES,NATIONAL_AUTHORITY,ROMANIA,73.0918,36.0,40.0
IT,2015,33184100,2187000.0,29.0,OPEN,SUPPLIES,PUBLIC_BODY,IT,100.0,23.9024,61.1111
IT,2016,33690000,3600000000.0,51.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5714,44.8718,50.0
SI,2015,15800000,180000.0,1.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,69.3069,37.7778,77.0919
RO,2021,60400000,750763.0,10.0,OPEN,SERVICES,NATIONAL_AUTHORITY,RO,85.7143,30.303,43.75
RO,2021,03222000,140771.0,3.0,OPEN,SUPPLIES,REGIONAL_AUTHORITY,RO,100.0,30.7692,50.0
RO,2020,34350000,7525655.0,10.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,RO,100.0,30.8036,35.7143
RO,2019,33141114,2223444.0,5.0,OPEN,SUPPLIES,PUBLIC_BODY,ROMANIA,94.8917,36.6667,42.1429
ES,2021,72222300,64000000.0,228.0,NEGOTIATED_WITHOUT_PUBLICATION,SERVICES,PUBLIC_BODY,ES,83.2951,44.8718,43.75
CZ,2019,45233290,3871661.0,1.0,OPEN,WORKS,NATIONAL_AGENCY,CZ,80.0,45.8333,62.2093
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
CZ,2019,45211000,3108045.0,5.0,RESTRICTED,WORKS,REGIONAL_AUTHORITY,CZ,78.1235,20.8333,65.1097
RO,2015,39831240,1504016.0,89.0,OPEN,SUPPLIES,PUBLIC_BODY,RO,85.5648,51.7647,56.25
BG,2020,09100000,1348.0,1.0,OPEN,SUPPLIES,NATIONAL_AGENCY,BG,70.0,37.5,62.5
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2018,60400000,6542729.0,4.0,OPEN,SERVICES,NATIONAL_AUTHORITY,ROMANIA,88.3722,37.7778,42.7019
IT,2020,71621000,1111631.96,22.0,OPEN,SERVICES,REGIONAL_AUTHORITY,IT,85.7143,31.9445,43.75
RO,2021,35811300,7527454.0,6.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,RO,85.7143,25.2874,35.7143
IT,2017,33651660,10000000000.0,2555.0,RESTRICTED,SUPPLIES,REGIONAL_AGENCY,IT,70.0,52.8302,50.0
RO,2018,33183100,7453341.0,2.0,OPEN,SUPPLIES,OTHER,ROMANIA,97.895,58.2609,42.6587
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,OTHER,IT,78.5496,79.1667,50.0
RO,2022,24951311,54167.0,3.0,OPEN,SUPPLIES,NATIONAL_AUTHORITY,ROMANIA,99.8386,47.2222,38.0952
RO,2018,33652100,113524.0,17.0,OPEN,SUPPLIES,OTHER,RO,100.0,31.2813,50.0
LT,2020,79416000,43300000.0,8.0,RESTRICTED,SERVICES,PUBLIC_BODY,LT,79.9992,48.8889,50.0
SI,2015,15800000,28533.0,4.0,OPEN,SUPPLIES,PUBLIC_BODY,SI,75.1226,38.5714,77.4557
RO,2016,77200000,3931332.0,2.0,OPEN,SERVICES,OTHER,RO,75.1458,1.1696,72.6968
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,NATIONAL_AUTHORITY,IT,78.5496,79.1667,50.0
RO,2019,33111000,300689.0,2.0,OPEN,SUPPLIES,OTHER,RO,100.0,47.2222,43.75
IT,2018,72267100,1500000000.0,132.0,RESTRICTED,SUPPLIES,PUBLIC_BODY,IT,78.5496,79.1667,50.0
